#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,status,type
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-09T20:46:17Z,131000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-10T00:41:57Z,142000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-10T04:37:28Z,154000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-10T06:35:21Z,149000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-10T08:33:22Z,138000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-10T10:31:15Z,140000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-10T12:29:04Z,144000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-10T16:24:37Z,155000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-10T18:22:33Z,147000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-10T20:20:22Z,151000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-10T22:18:12Z,156000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-11T04:11:41Z,170000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-11T06:09:28Z,173000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-11T08:07:29Z,161000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-11T10:05:22Z,163000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-11T12:03:16Z,163000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-11T14:44:23Z,3374000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-11T17:56:43Z,173000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-11T19:54:36Z,170000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-11T21:52:27Z,172000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-12T01:48:08Z,185000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-12T05:43:47Z,187000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-12T07:41:39Z,186000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-12T09:39:39Z,179000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-12T11:37:37Z,175000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-12T13:35:23Z,186000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-12T17:31:02Z,190000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-12T19:28:55Z,187000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-12T21:26:49Z,186000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-12T23:24:42Z,189000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-13T05:18:14Z,202000,duration,FDEvent,1,start
